City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Touros,BR,-5.1989,-35.4608,85.01,67,84,16.42,broken clouds
250,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,68,12,2.77,few clouds
251,Portland,US,45.5234,-122.6762,56.44,85,100,1.01,overcast clouds
252,Varzea Da Palma,BR,-17.5981,-44.7308,90.64,23,1,3.04,clear sky
253,Creel,MX,27.75,-107.6333,68.34,11,51,12.26,broken clouds
254,Nizhniy Ingash,RU,56.2,96.53,43.45,79,100,9.15,overcast clouds
255,Bonavista,CA,48.6499,-53.1147,37.62,96,100,11.05,light rain
256,Buraydah,SA,26.326,43.975,86.45,12,0,11.92,clear sky
257,Yulara,AU,-25.2406,130.9889,60.64,63,40,8.05,scattered clouds
258,Dingzhou,CN,38.5131,114.9956,51.91,38,57,8.25,broken clouds
259,Charters Towers,AU,-20.1,146.2667,67.28,88,34,4.79,scattered clouds
260,Bull Savanna,JM,17.8868,-77.5902,82.24,66,100,8.86,overcast clouds
261,Doha,QA,25.2867,51.5333,89.91,63,0,10.36,clear sky
262,Lompoc,US,34.6391,-120.4579,64.85,63,0,20.71,clear sky
263,Moses Lake,US,47.1301,-119.2781,59.88,62,0,0.0,clear sky
264,Asau,RO,46.4333,26.4,58.12,52,89,2.91,overcast clouds
265,Kodiak,US,57.79,-152.4072,40.51,81,100,17.27,light rain
266,Hammerfest,NO,70.6634,23.6821,30.65,80,75,8.05,broken clouds
267,Saint Andrews,US,34.0454,-81.1293,83.66,54,75,10.36,broken clouds
268,Uspenskaya,RU,45.7645,41.067,50.2,92,100,12.55,light rain
269,Caluquembe,AO,-13.7833,14.6833,63.54,60,5,4.03,clear sky
270,Muhos,FI,64.808,25.9931,37.18,73,73,4.09,broken clouds
271,Uige,AO,-7.6087,15.0613,70.05,77,96,3.38,overcast clouds
272,Komsomolskiy,UZ,40.4272,71.7189,75.92,33,99,9.22,overcast clouds
273,Bethel,US,41.3712,-73.414,70.18,35,0,4.61,clear sky
274,Tual,ID,-5.6667,132.75,82.63,76,80,9.01,broken clouds
275,Ixtapa,MX,20.7,-105.2,79.83,61,75,10.36,broken clouds
276,Noumea,NC,-22.2763,166.4572,77.0,99,81,11.72,broken clouds
277,Kiama,AU,-34.6833,150.8667,55.45,91,9,4.81,clear sky
278,Hereford,GB,52.0568,-2.7148,53.01,91,100,6.67,overcast clouds
279,Romny,UA,50.751,33.4747,48.31,58,47,0.51,scattered clouds
280,East London,ZA,-33.0153,27.9116,61.74,72,0,8.05,clear sky
281,Makat,KZ,47.6469,53.3463,61.03,39,13,19.57,few clouds
282,Hidrolandia,BR,-4.4081,-40.4378,85.32,66,86,4.07,overcast clouds
283,Luderitz,NA,-26.6481,15.1594,67.12,43,0,8.05,clear sky
284,Danville,US,36.586,-79.395,79.43,67,0,5.75,clear sky
285,Cocobeach,GA,1.0002,9.5823,81.79,80,80,8.39,light rain
286,Taltal,CL,-25.4,-70.4833,65.66,67,17,5.55,few clouds
287,Saint-Philippe,RE,-21.3585,55.7679,76.59,82,44,3.58,scattered clouds
288,Puerto Colombia,CO,10.9878,-74.9547,82.49,70,100,2.91,overcast clouds
289,Te Anau,NZ,-45.4167,167.7167,47.25,92,39,2.53,scattered clouds
290,Itupiranga,BR,-5.1347,-49.3267,91.72,60,10,2.82,clear sky
291,Kirakira,SB,-10.4544,161.9205,79.12,84,100,5.73,overcast clouds
292,Iwanai,JP,42.9744,140.5089,42.06,92,66,1.3,broken clouds
293,Fereydun Kenar,IR,36.6864,52.5225,64.62,88,100,6.91,overcast clouds
294,Yurimaguas,PE,-5.9,-76.0833,87.96,62,20,4.61,few clouds
295,Cayenne,GF,4.9333,-52.3333,86.04,42,0,17.27,clear sky
296,Faya,SA,18.3851,42.4509,68.11,57,22,6.02,few clouds
297,Baraki Barak,AF,33.9675,68.9486,74.21,26,54,7.56,broken clouds
298,Valdivia,CL,-39.8142,-73.2459,44.69,61,79,2.55,broken clouds
299,Iskateley,RU,67.6803,53.1512,18.82,92,99,8.97,overcast clouds
300,Saint George,US,37.1041,-113.5841,76.62,15,0,13.0,clear sky
301,Havelock,US,34.8791,-76.9013,81.99,73,64,8.99,broken clouds
302,Lake City,US,30.1897,-82.6393,87.58,51,40,5.75,scattered clouds
303,Ancud,CL,-41.8697,-73.8203,55.56,79,72,3.89,broken clouds
304,Urumqi,CN,43.801,87.6005,72.55,12,0,31.32,clear sky
305,The Pas,CA,53.8251,-101.2541,37.42,75,100,9.22,overcast clouds
306,San Cristobal,VE,7.7669,-72.225,86.18,51,98,8.41,overcast clouds
307,Bintulu,MY,3.1667,113.0333,79.21,89,20,3.44,few clouds
308,Tonantins,BR,-2.8731,-67.8022,76.87,95,86,2.86,light rain
309,Sardarshahr,IN,28.4333,74.4833,94.44,9,23,5.35,few clouds
310,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,74,0,13.8,clear sky
311,Shubarkuduk,KZ,49.1447,56.4872,53.96,56,10,16.69,clear sky
312,Viedma,AR,-40.8135,-62.9967,57.42,49,86,5.97,overcast clouds
313,Bandarbeyla,SO,9.4942,50.8122,84.67,76,69,10.63,broken clouds
314,College,US,64.8569,-147.8028,47.23,54,75,10.36,broken clouds
315,Haileybury,CA,47.449,-79.6373,63.18,35,86,12.1,overcast clouds
316,Raga,SS,8.4596,25.678,92.73,21,99,3.56,overcast clouds
317,Raudeberg,NO,61.9875,5.1352,45.95,80,100,14.2,overcast clouds
318,Nhulunbuy,AU,-12.2333,136.7667,81.21,69,22,11.5,few clouds
319,Marigot,MF,18.0667,-63.0833,83.05,80,20,13.8,few clouds
320,Nome,US,64.5011,-165.4064,37.47,70,0,19.57,clear sky
321,Margate,GB,51.3813,1.3862,55.69,67,100,1.99,overcast clouds
322,Vrangel,RU,42.7297,133.0839,39.15,91,94,7.83,overcast clouds
323,Hope,US,33.6671,-93.5916,78.85,36,18,5.55,few clouds
324,Northampton,US,40.8754,-75.2499,69.82,26,92,5.5,overcast clouds
325,Naze,JP,28.3667,129.4833,63.52,63,100,11.88,overcast clouds
326,Hof,DE,50.3167,11.9167,56.32,63,0,5.99,clear sky
327,Calderitas,MX,18.55,-88.25,86.11,66,40,11.5,scattered clouds
328,Ust-Tarka,RU,55.5672,75.705,45.5,53,100,12.77,overcast clouds
329,San Jose De Guanipa,VE,8.8872,-64.1651,91.63,32,16,12.64,few clouds
330,Eyl,SO,7.9803,49.8164,85.23,72,100,11.56,overcast clouds
331,Macia,MZ,-25.0269,33.0989,65.55,88,3,4.97,clear sky
332,Phan Thiet,VN,10.9333,108.1,78.85,87,45,1.16,scattered clouds
333,Ust-Kuyga,RU,70.0167,135.6,21.87,95,74,11.54,light snow
334,Severo-Yeniseyskiy,RU,60.3725,93.0408,20.3,95,71,3.02,broken clouds
335,Portobelo,PA,9.55,-79.65,87.96,77,100,6.73,overcast clouds
336,Olga,RU,43.7444,135.2892,35.28,96,95,4.18,overcast clouds
337,Puerto Madero,MX,14.7208,-92.4215,89.8,62,75,0.0,broken clouds
338,Trelew,AR,-43.249,-65.3051,52.84,51,97,6.31,overcast clouds
339,Strezhevoy,RU,60.7333,77.5889,29.44,77,84,5.1,broken clouds
340,Angol,CL,-37.8,-72.7167,59.83,55,100,7.94,moderate rain
341,Kavieng,PG,-2.5744,150.7967,81.64,76,8,4.52,clear sky
342,Pokrovskoye,RU,47.4157,38.8971,56.43,52,96,11.12,overcast clouds
343,Meget,RU,52.415,104.0494,50.76,52,96,3.69,overcast clouds
344,Lavrentiya,RU,65.5833,-171.0,11.62,90,49,10.4,scattered clouds
345,Mama,RU,58.3106,112.8986,35.91,97,100,5.93,light rain
346,Cabedelo,BR,-6.9811,-34.8339,81.27,72,82,14.9,broken clouds
347,Nokha,IN,27.6,73.4167,95.88,14,37,17.22,scattered clouds
