City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
435,Caravelas,BR,83.14,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
437,Vila Do Maio,CV,83.19,clear sky,15.1333,-23.2167,Hotel Marilu
439,Lago Da Pedra,BR,83.25,scattered clouds,-4.3333,-45.1667,
442,Uvalde,US,79.32,overcast clouds,29.3669,-99.767,
443,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
444,Manokwari,ID,78.06,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
445,Dingle,PH,77.2,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
447,Veraval,IN,83.43,clear sky,20.9,70.3667,Lords Inn Somnath
448,Labuhan,ID,79.61,overcast clouds,-6.8844,112.2051,DoubleFAG
450,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
451,Sao Geraldo Do Araguaia,BR,87.28,few clouds,-6.4006,-48.555,Hotel Por do Sol
454,Velur,IN,87.55,overcast clouds,12.9333,79.1333,NSR Lodge A/C
465,Papagaios,BR,82.96,clear sky,-19.4492,-44.7478,Hotel Mac Palace
469,Tikrit,IQ,80.37,clear sky,34.6071,43.6782,عماره العبطه
471,Buluang,PH,75.72,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
472,Sao Joao Da Barra,BR,86.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
473,Muli,MV,85.8,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
474,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
475,Nandgaon,IN,88.63,scattered clouds,20.3167,74.65,Hotel Visava
476,Sompeta,IN,81.19,light rain,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
480,Marrakesh,MA,86.07,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
483,Surin,TH,78.01,light rain,14.8818,103.4936,One Fu Hotel
489,Manggar,ID,82.04,broken clouds,-2.8833,108.2667,Guest Hotel
493,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
495,Guadalajara,MX,82.98,clear sky,20.6667,-103.3333,Hotel Aranzazú
510,Bac Lieu,VN,82.76,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
514,La Brea,HN,87.31,broken clouds,15.8,-85.9667,Hotel reynita
515,San Patricio,US,88.52,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
517,Diego De Almagro,CL,77.34,broken clouds,-26.3667,-70.05,hotel luna del desierto
520,Porbandar,IN,84.16,clear sky,21.6422,69.6093,Lords Inn Porbandar
522,Rincon,US,80.91,broken clouds,32.296,-81.2354,Days Inn Rincon
527,Kaliyaganj,IN,79.84,broken clouds,25.6333,88.3167,Bubai Modak
528,Singarayakonda,IN,83.89,few clouds,15.25,80.0333,Sri Nrk A/C Lodge
